Date,Home,Away,Status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
08-12-2013,Cagliari,Genoa,1,2,1,H,30,4,7,3,15,11,8,3,5,1,0,1
08-12-2013,Inter,Parma,1,3,3,D,15,17,6,8,14,13,3,11,2,1,0,0
08-12-2013,Roma,Fiorentina,1,2,1,H,21,15,9,5,11,13,8,6,3,4,1,0
08-12-2013,Sampdoria,Catania,1,2,0,H,17,5,7,0,17,13,7,3,3,2,0,0
08-12-2013,Sassuolo,Chievo,1,0,1,A,6,9,2,5,19,26,4,4,2,2,0,0
08-12-2013,Torino,Lazio,1,1,0,H,5,21,3,3,8,19,1,15,3,2,0,0
08-12-2013,Verona,Atalanta,1,2,1,H,15,11,6,5,13,15,9,5,1,3,0,1
14-12-2013,Catania,Verona,1,0,0,D,16,8,6,1,17,19,6,2,2,1,0,0
15-12-2013,Chievo,Sampdoria,1,0,1,A,11,9,6,2,15,23,7,3,4,5,0,0
15-12-2013,Fiorentina,Bologna,1,3,0,H,18,8,8,4,10,11,6,6,2,1,0,0
15-12-2013,Genoa,Atalanta,1,1,1,D,13,15,3,4,10,13,10,8,0,2,0,0
15-12-2013,Juventus,Sassuolo,1,4,0,H,20,12,8,0,12,15,5,2,1,1,0,0
15-12-2013,Lazio,Livorno,1,2,0,H,17,10,5,1,22,17,1,5,2,5,0,0
15-12-2013,Napoli,Inter,1,4,2,H,13,11,9,5,12,9,5,6,2,1,0,1
15-12-2013,Parma,Cagliari,1,0,0,D,10,18,2,4,13,17,5,3,4,4,0,0
15-12-2013,Udinese,Torino,1,0,2,A,20,7,3,3,12,13,6,2,2,3,0,0
16-12-2013,Milan,Roma,1,2,2,D,11,14,4,4,13,13,4,7,4,2,0,0
21-12-2013,Cagliari,Napoli,1,1,1,D,10,10,4,2,13,14,4,6,2,2,0,0
21-12-2013,Livorno,Udinese,1,1,2,A,14,14,4,4,11,20,3,4,3,2,0,0
22-12-2013,Atalanta,Juventus,1,1,4,A,7,16,3,4,14,16,1,4,1,2,0,0
22-12-2013,Bologna,Genoa,1,1,0,H,19,5,3,1,23,21,8,4,5,1,0,0
22-12-2013,Inter,Milan,1,1,0,H,15,18,7,5,13,15,5,7,3,4,0,1
22-12-2013,Roma,Catania,1,4,0,H,21,10,10,1,11,19,9,3,1,4,0,0
22-12-2013,Sampdoria,Parma,1,1,1,D,8,15,3,5,16,18,4,4,2,4,0,0
22-12-2013,Sassuolo,Fiorentina,1,0,1,A,9,10,3,5,18,10,2,3,5,3,0,0
22-12-2013,Torino,Chievo,1,4,1,H,12,9,6,3,12,13,6,7,2,2,0,0
22-12-2013,Verona,Lazio,1,4,1,H,13,18,7,9,7,13,1,10,1,2,0,0
